id,title,url,subtitle,rating,reviews,hours,lectures,level,currentPrice,originalPrice,tf-idf-for-basic-student,tf-idf-for-advanced-student
1,Master the Coding Interview: Data Structures + Algorithms,https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,"Ultimate coding interview bootcamp. Get more job offers, negotiate a raise: Everything you need to get the job you want!",4.7,535343,20.0,264.0,All Levels,"249,000","₫1,599,000",0.0,0.18247011657871437
2,"Data Structures & Algorithms, Level-up for Coding Interviews",https://www.udemy.com/course/cpp-data-structures-algorithms-levelup-prateek-narang/,"Master problem solving for Coding Interviews, ace <strong>Data</strong> <strong>Structures</strong> & <strong>Algorithms</strong> by solving over 150 important questions!",4.6,53201,30.5,256.0,All Levels,"299,000","₫1,299,000",0.0,0.22209421885893982
3,Mastering Data Structures & Algorithms using C and C++,https://www.udemy.com/course/datastructurescncpp/,"Learn, Analyse and Implement <strong>Data</strong to Data Structuresong> <strong>Structure</strong> using C and C++. Learn Recursion and Sorting.",4.6,547257,58.5,390.0,All Levels,"299,000","₫2,199,000",0.0,0.0
4,Python Data Structures & Algorithms + LEETCODE Exercises,https://www.udemy.com/course/data-structures-algorithms-python/,DSA for Cracking the Coding Interview. Animated Examples for Faster Learning and Deeper Understanding.,4.7,58394,9.5,125.0,All Levels,"249,000","₫1,499,000",0.0,0.0
5,Java Data Structures & Algorithms + LEETCODE Exercises,https://www.udemy.com/course/data-structures-and-algorithms-java/,DSA for Cracking the Coding Interview. Animated Examples for Faster Learning and Deeper Understanding.,4.7,55882,10.0,128.0,All Levels,"249,000","₫1,499,000",0.0,0.0
6,JavaScript Algorithms and Data Structures Masterclass,https://www.udemy.com/course/js-algorithms-and-data-structures-masterclass/,The Missing Computer Science and Coding Interview Bootcamp,4.7,526953,22.0,249.0,All Levels,"299,000","₫1,899,000",0.0,0.0
7,The Complete Data Structures and Algorithms Course in Python,https://www.udemy.com/course/data-structures-and-algorithms-bootcamp-in-python/,100+ DSA Interview Questions for Cracking FAANG with Animated Examples for Deeper Understanding and Faster Learning,4.5,58463,46.5,549.0,All Levels,"999,000","₫1,499,000",0.0,0.0
8,Java Data Structures and Algorithms Masterclass,https://www.udemy.com/course/java-data-structures-and-algorithms-masterclass/,100+ DSA Interview Questions for Cracking FAANG with Animated Examples for Deeper Understanding and Faster Learning,4.4,55651,46.5,442.0,All Levels,"349,000","₫2,199,000",0.0,0.0
9,Data Structures & Algorithms Essentials using C++ (2023),https://www.udemy.com/course/cpp-data-structures-algorithms-prateek-narang/,"Master core computer science concepts by mastering <strong>data</strong> <strong>structures</strong>, <strong>algorithms</strong> & problem solving using C++",4.2,53372,28.0,248.0,All Levels,"249,000","₫999,000",0.0,0.2262612681242423
10,Data Structures & Algorithms in Java + 130 Leetcode Problems,https://www.udemy.com/course/mastering-leetcode-in-java-top-100-most-asked-problems/,Learn DSA in Java and solve top Leetcode problems asked in coding interviews,4.8,5108,35.0,222.0,All Levels,"249,000","₫1,149,000",0.0,0.0
11,Data Structures and Algorithms: Deep Dive Using Java,https://www.udemy.com/course/data-structures-and-algorithms-deep-dive-using-java/,"Learn about Arrays, Linked Lists, Trees, Hashtables, Stacks, Queues, Heaps, Sort <strong>algorithms</strong> and Search <strong>algorithms</strong>",4.6,516792,16.0,116.0,Intermediate,"299,000","₫1,499,000",0.0,0.23079909303849003
12,C++ Data Structures & Algorithms + LEETCODE Exercises,https://www.udemy.com/course/data-structures-algorithms-cpp/,DSA for Cracking the Coding Interview. Animated Examples for Faster Learning and Deeper Understanding.,4.7,51191,9.5,135.0,All Levels,"249,000","₫1,599,000",0.0,0.0
13,JavaScript Data Structures & Algorithms + LEETCODE Exercises,https://www.udemy.com/course/data-structures-algorithms-javascript/,DSA for Cracking the Coding Interview. Animated Examples for Faster Learning and Deeper Understanding.,4.7,52421,9.0,123.0,All Levels,"1,099,000","₫1,699,000",0.0,0.0
14,The Complete Algorithms and Data Structures Course,https://www.udemy.com/course/the-complete-algorithms-and-data-structures-course/,"Receive more job offers, negotiate a raise: Everything you need to get the job you want!",4.6,536,24.0,88.0,All Levels,"249,000","₫1,499,000",0.0,0.0
15,Data Structures A-Z : Data Structures + Algorithms Bootcamp,https://www.udemy.com/course/data-structures-and-algorithms-the-complete-guide/,Become ace in <strong>data</strong> <strong>structures</strong> & <strong>algorithms</strong> & Crack the code interview by getting mastery in <strong>data</strong> <strong>structures</strong> & <strong>algorithms</strong>,4.9,510938,7.5,91.0,All Levels,"249,000","₫399,000",0.0,0.0
16,Data Structures and Algorithms Bootcamp,https://www.udemy.com/course/data-structures-and-algorithms-bootcamp/,How to ace your Silicon Valley style coding interview,4.7,52880,6.5,139.0,Beginner,"349,000","₫1,499,000",0.19982204799085712,0.0
17,The Coding Interview Bootcamp: Algorithms + Data Structures,https://www.udemy.com/course/coding-interview-bootcamp-algorithms-and-data-structure/,Ace your next Javascript coding interview by mastering <strong>data</strong> <strong>structures</strong> and <strong>algorithms</strong>.,4.7,514693,13.0,139.0,All Levels,"299,000","₫1,899,000",0.0,0.0
18,Advanced Algorithms and Data Structures in Python,https://www.udemy.com/course/advanced-algorithms-python/,"Fenwick trees, Caches, Splay Trees, Prefix Trees (Tries), Substring-Search <strong>Algorithms</strong> and Travelling Salesman Problem",4.8,561,10.5,80.0,All Levels,"299,000","₫499,000",0.0,0.18740357900818708
19,"Competitive Programming Essentials, Master Algorithms 2023",https://www.udemy.com/course/competitive-programming-algorithms-coding-minutes/,"Master competitive coding techniques - maths, number theory, dynamic programming, advanced <strong>data</strong> <strong>structures</strong> & <strong>algorithms</strong>",4.3,52097,56.5,344.0,All Levels,"249,000","₫1,499,000",0.0,0.5709832376647547
20,Data Structures & Algorithms Blueprint - Part 1 (of 2),https://www.udemy.com/course/data-structures-and-algorithms-online-tutorial/,Master <strong>Data</strong> <strong>Structures</strong> <strong>Algorithm</strong> from scratch as it <strong>Data</strong> <strong>Structures</strong> <strong>Algorithm</strong> is the most subject of computer science,4.8,5120,45.5,266.0,All Levels,"249,000","₫1,199,000",0.0,0.2713568953386196
21,"Data Structures & Algorithms using C++, C and Python - 2024",https://www.udemy.com/course/mastering-data-structures-and-algorithms-using-c-programming/,"Coding Interview : Learn Arrays, Stacks, Queues, Linked Lists, Trees, Graphs &amp; <strong>Algorithms</strong> from basics to advanced.",4.7,5198,44.0,222.0,All Levels,"299,000","₫449,000",0.2641124737950143,0.25690631094329525
22,50 Days of DSA PYTHON Data Structures & Algorithms LEETCODE,https://www.udemy.com/course/python-data-structures-algorithms/,"<strong>Data</strong> <strong>Structures</strong> <strong>Algorithms</strong>, DSA ,BigO Analysis for every Question, Coding Interview,DP,Backtracking,<strong>Data</strong> <strong>Structures</strong>",4.8,5120,48.0,573.0,All Levels,"249,000","₫899,000",0.0,0.0
23,Data Structures & Algorithms in JS + 100 LEETCODE Problems,https://www.udemy.com/course/cracking-the-javascript-coding-interview-k/,"Learn DSA, Problem Solving and <strong>Algorithms</strong> with Javascript + 100 Leetcode Problems",5.0,522,23.5,173.0,Beginner,"249,000","₫799,000",0.13368183126035382,0.0
24,Algorithms Data Structures in Java #1 (+INTERVIEW QUESTIONS),https://www.udemy.com/course/algorithms-and-data-structures/,"Basic <strong>Algorithms</strong> and <strong>Data</strong> <strong>Structures</strong>: AVL tree, Binary Search Trees, Arrays, B Trees, Linked Lists, Stacks and HashMaps",4.7,52879,23.0,195.0,All Levels,"649,000","₫999,000",0.2218819168973034,0.0
